time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,-0.0577091684455,0.154109837751,12.3506861062,0.0825271538236,0.0318803432743,0.0,-0.147630630717,0.461052401099,3.48097480595,0.0815211127205,0.0662367420391,0.0,436.9868836279429,436.95717680131156,436.96684288321285,433.90872316188955
1.3800000000000008,-0.0672632911129,0.183549842606,12.5631509082,0.0872101278487,0.0358776780075,0.0,-0.171246942158,0.520748179778,3.60073839722,0.0700061034996,0.0673819425324,0.0,454.96208064834644,455.0569595278514,456.5231386199033,455.6080181004024
1.4400000000000008,-0.0783573952012,0.216757771278,12.7838109276,0.0914070242012,0.0396720826298,0.0,-0.198971562548,0.586593813034,3.7540224026,0.0698324206488,0.0533106826456,0.0,466.92078249226984,465.82433192222305,466.9496998813168,466.9396188553394
1.5000000000000009,-0.0913518997336,0.25436385328,13.0174944457,0.0957502517743,0.0430287080428,0.0,-0.234562969738,0.667395340493,4.03437892506,0.077058760717,0.060747110179,0.0,504.45311822672966,504.99154254163255,504.08741849239414,504.6127167734387
1.560000000000001,-0.106487740735,0.296745827911,13.2660617907,0.100438497512,0.0461659759828,0.0,-0.270348356508,0.745806299245,4.25030980316,0.0802107220633,0.0243186941885,0.0,489.4458615398461,486.7283011376897,488.50058621977746,488.73983663923207
1.620000000000001,-0.123705319787,0.343659196891,13.5247580048,0.10500880011,0.0474081477217,0.0,-0.303692382173,0.818411280756,4.3723406239,0.0665420105535,0.0122601399274,0.0,463.2696957609651,462.3204506330211,462.4404680256471,461.3667096574203
1.680000000000001,-0.142942797244,0.39501026188,13.7906552627,0.108972222829,0.0485597576265,0.0,-0.337635946069,0.893646838921,4.49035170794,0.0650695304837,0.0303364643347,0.0,461.2508254892722,462.67626641016636,462.6172410814994,462.5043214890628
1.740000000000001,-0.163986354941,0.450378379833,14.0583597178,0.113283956391,0.0504265461595,0.0,-0.363972253235,0.952294950172,4.43327385697,0.0828165336715,0.0326226545975,0.0,407.6318811386512,407.836584339266,404.8327314146694,406.43109821906677
1.8000000000000012,-0.18699041499,0.510119633627,14.3294689005,0.118352279168,0.0521263545749,0.0,-0.403002260078,1.03955077408,4.60289545928,0.0875910253384,0.0179533188935,0.0,479.2453823259594,478.12913468475534,478.353331007394,478.72208356920265
1.8600000000000012,-0.212158966049,0.574727541352,14.6067047853,0.124065181216,0.0528967000089,0.0,-0.436029162066,1.11452258177,4.63803690936,0.107236924649,-0.000107474200842,0.0,440.1934769258917,438.6960862941766,437.5671457871094,439.20745998826004
1.9200000000000013,-0.239552103715,0.644489345874,14.8903800104,0.130386776059,0.0527726634595,0.0,-0.477027197826,1.21148372303,4.81689754074,0.10131717628,-0.00630755130005,0.0,482.998774649802,482.5309460407586,484.4488240286374,484.0121462784635
1.9800000000000013,-0.269172896533,0.719643382249,15.1804757903,0.136593672913,0.0524942566611,0.0,-0.510293197648,1.29417908062,4.85266702184,0.107398903594,-0.00149784921543,0.0,441.2027985557056,441.59986008283295,441.58264742746,442.09347855642426
